Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.571302078478889,0.7530570709662806,0.571302078478889,0.4949355418355087
Random Forest,0.5039767608040513,0.7475733114376262,0.5039767608040513,0.36907121946275523
Gradient Boosting,0.5062136887563302,0.745776854267814,0.5062136887563302,0.3738142714992265
